chinID	hearing	freq_kHz	dpoae_amp
Q373	NH	500	31.56931906
Q373	NH	563.6820984	33.2182553585059
Q373	NH	635.4750161	34.3560993171932
Q373	NH	716.4117812	34.7810226925931
Q373	NH	807.6569923	34.4143372837048
Q373	NH	910.5235764	35.9683985744782
Q373	NH	1026.49168	35.0211284236876
Q373	NH	1157.229969	36.5157445912905
Q373	NH	1304.619634	37.6924642483516
Q373	NH	1470.781466	36.5334716203983
Q373	NH	1658.106366	36.9486509561858
Q373	NH	1869.289752	36.5998269122571
Q373	NH	2107.37034	35.0556076132976
Q373	NH	2375.773871	35.2491693435576
Q373	NH	2678.362402	36.7427513634306
Q373	NH	3019.489878	38.212699631332
Q373	NH	3404.064781	39.5138686105726
Q373	NH	3837.620758	39.9834635476896
Q373	NH	4326.396243	39.3449028132437
Q373	NH	4877.424226	42.413712564522
Q373	NH	5498.633445	42.3298877182645
Q373	NH	6198.962477	42.1199784192946
Q373	NH	6988.488354	40.8851439095435
Q373	NH	7878.57156	40.2774638028014
Q373	NH	8882.019499	40.2862474279668
Q373	NH	10013.27078	40.204193556757
Q373	NH	12000	36.29835054
Q374	NH	500	31.65459899
Q374	NH	563.6820984	31.4139333972541
Q374	NH	635.4750161	34.3658089841253
Q374	NH	716.4117812	36.2323632863662
Q374	NH	807.6569923	37.0233167153576
Q374	NH	910.5235764	38.6798006644081
Q374	NH	1026.49168	38.1166681482684
Q374	NH	1157.229969	38.2840801463819
Q374	NH	1304.619634	37.3642210195257
Q374	NH	1470.781466	37.7510091391521
Q374	NH	1658.106366	38.9671034948819
Q374	NH	1869.289752	37.3450201945705
Q374	NH	2107.37034	35.9458936633868
Q374	NH	2375.773871	36.3117418855571
Q374	NH	2678.362402	38.3013627546274
Q374	NH	3019.489878	40.5259402559491
Q374	NH	3404.064781	40.1520137441309
Q374	NH	3837.620758	38.622179232681
Q374	NH	4326.396243	39.3238291708196
Q374	NH	4877.424226	41.0385126829123
Q374	NH	5498.633445	41.8548050238634
Q374	NH	6198.962477	40.7223090692317
Q374	NH	6988.488354	39.4098538901702
Q374	NH	7878.57156	38.4645526931558
Q374	NH	8882.019499	37.6689584031489
Q374	NH	10013.27078	36.6589006254918
Q374	NH	12000	24.64088772
Q379	NH	500	31.08223137
Q379	NH	563.6820984	32.3597860944446
Q379	NH	635.4750161	30.6071858344513
Q379	NH	716.4117812	28.0169802016682
Q379	NH	807.6569923	28.6271831109772
Q379	NH	910.5235764	31.9714351911242
Q379	NH	1026.49168	33.3352556459592
Q379	NH	1157.229969	35.186450477155
Q379	NH	1304.619634	34.0016319032333
Q379	NH	1470.781466	32.6376788978084
Q379	NH	1658.106366	33.1207270292267
Q379	NH	1869.289752	34.3678150233621
Q379	NH	2107.37034	35.6755465737079
Q379	NH	2375.773871	36.9453401691362
Q379	NH	2678.362402	39.0251503179101
Q379	NH	3019.489878	39.1203626759596
Q379	NH	3404.064781	37.6932074127659
Q379	NH	3837.620758	37.1405046311346
Q379	NH	4326.396243	35.9009642613094
Q379	NH	4877.424226	40.0847962387456
Q379	NH	5498.633445	41.2622425245332
Q379	NH	6198.962477	41.4917655057456
Q379	NH	6988.488354	39.6363190315806
Q379	NH	7878.57156	36.7670106536885
Q379	NH	8882.019499	33.9136619470586
Q379	NH	10013.27078	30.2399971397707
Q379	NH	12000	19.29761473
Q358	NH	500	32.38065508
Q358	NH	563.6820984	30.74376082
Q358	NH	635.4750161	29.87637704
Q358	NH	716.4117812	32.84839556
Q358	NH	807.6569923	33.06987308
Q358	NH	910.5235764	33.57703032
Q358	NH	1026.49168	33.80152526
Q358	NH	1157.229969	34.35005989
Q358	NH	1304.619634	35.40797918
Q358	NH	1470.781466	36.25796635
Q358	NH	1658.106366	36.06940816
Q358	NH	1869.289752	35.99123694
Q358	NH	2107.37034	37.28525598
Q358	NH	2375.773871	40.25164391
Q358	NH	2678.362402	36.26647864
Q358	NH	3019.489878	41.55851272
Q358	NH	3404.064781	40.79692493
Q358	NH	3837.620758	38.08086516
Q358	NH	4326.396243	36.09683736
Q358	NH	4877.424226	44.84906636
Q358	NH	5498.633445	44.26197363
Q358	NH	6198.962477	42.52767619
Q358	NH	6988.488354	44.61564401
Q358	NH	7878.57156	44.28584074
Q358	NH	8882.019499	42.66607883
Q358	NH	10013.27078	44.13787744
Q358	NH	12000	29.98725651
Q360	NH	500	33.93399176
Q360	NH	563.6820984	33.40772611
Q360	NH	635.4750161	33.89856945
Q360	NH	716.4117812	36.15671048
Q360	NH	807.6569923	35.85834847
Q360	NH	910.5235764	35.72355989
Q360	NH	1026.49168	34.22032092
Q360	NH	1157.229969	33.63270848
Q360	NH	1304.619634	35.07416368
Q360	NH	1470.781466	37.30847527
Q360	NH	1658.106366	36.62599394
Q360	NH	1869.289752	35.94938497
Q360	NH	2107.37034	37.54043858
Q360	NH	2375.773871	37.86710156
Q360	NH	2678.362402	38.56487233
Q360	NH	3019.489878	39.93239427
Q360	NH	3404.064781	39.26510129
Q360	NH	3837.620758	40.17504359
Q360	NH	4326.396243	38.01758774
Q360	NH	4877.424226	42.71970452
Q360	NH	5498.633445	42.52904073
Q360	NH	6198.962477	41.97445753
Q360	NH	6988.488354	39.24025653
Q360	NH	7878.57156	37.04853473
Q360	NH	8882.019499	36.55040608
Q360	NH	10013.27078	37.36595186
Q360	NH	12000	26.66729547
Q361	NH	500	33.14912665
Q361	NH	563.6820984	31.81188445
Q361	NH	635.4750161	33.27538306
Q361	NH	716.4117812	36.1391518
Q361	NH	807.6569923	33.8811748
Q361	NH	910.5235764	33.63607831
Q361	NH	1026.49168	34.1708189
Q361	NH	1157.229969	35.26270141
Q361	NH	1304.619634	37.30953175
Q361	NH	1470.781466	38.56384397
Q361	NH	1658.106366	36.64389575
Q361	NH	1869.289752	34.74454705
Q361	NH	2107.37034	35.2717356
Q361	NH	2375.773871	37.48604041
Q361	NH	2678.362402	36.74471548
Q361	NH	3019.489878	34.5272405
Q361	NH	3404.064781	36.82630509
Q361	NH	3837.620758	37.9540015
Q361	NH	4326.396243	38.22298042
Q361	NH	4877.424226	39.84597545
Q361	NH	5498.633445	43.98527151
Q361	NH	6198.962477	41.37012635
Q361	NH	6988.488354	41.78283587
Q361	NH	7878.57156	40.25589199
Q361	NH	8882.019499	38.2882322
Q361	NH	10013.27078	37.83114776
Q361	NH	12000	27.88873168
Q362	NH	500	31.37399988
Q362	NH	563.6820984	30.33671727
Q362	NH	635.4750161	30.16194968
Q362	NH	716.4117812	32.71569774
Q362	NH	807.6569923	31.85433681
Q362	NH	910.5235764	34.12024013
Q362	NH	1026.49168	34.63495817
Q362	NH	1157.229969	34.90635989
Q362	NH	1304.619634	36.37021418
Q362	NH	1470.781466	38.19559021
Q362	NH	1658.106366	37.14326892
Q362	NH	1869.289752	35.95584302
Q362	NH	2107.37034	33.3149188
Q362	NH	2375.773871	33.89998441
Q362	NH	2678.362402	35.55101711
Q362	NH	3019.489878	37.79462066
Q362	NH	3404.064781	40.2084166
Q362	NH	3837.620758	37.93182935
Q362	NH	4326.396243	39.64725126
Q362	NH	4877.424226	45.44420071
Q362	NH	5498.633445	45.98086716
Q362	NH	6198.962477	45.57190183
Q362	NH	6988.488354	45.57901243
Q362	NH	7878.57156	43.69827769
Q362	NH	8882.019499	41.94256528
Q362	NH	10013.27078	41.4203302
Q362	NH	12000	34.47051353
Q367	NH	500	31.65082479
Q367	NH	563.6820984	33.04374305
Q367	NH	635.4750161	35.50236774
Q367	NH	716.4117812	38.07734398
Q367	NH	807.6569923	37.52092659
Q367	NH	910.5235764	38.68048545
Q367	NH	1026.49168	39.20977434
Q367	NH	1157.229969	40.25123782
Q367	NH	1304.619634	41.09832787
Q367	NH	1470.781466	41.96436963
Q367	NH	1658.106366	40.11395942
Q367	NH	1869.289752	39.01495436
Q367	NH	2107.37034	39.44593945
Q367	NH	2375.773871	41.29261087
Q367	NH	2678.362402	40.85756037
Q367	NH	3019.489878	41.06510687
Q367	NH	3404.064781	41.52969727
Q367	NH	3837.620758	43.23025397
Q367	NH	4326.396243	43.43469807
Q367	NH	4877.424226	40.00022941
Q367	NH	5498.633445	47.20795127
Q367	NH	6198.962477	45.72881248
Q367	NH	6988.488354	46.03425361
Q367	NH	7878.57156	44.7921006
Q367	NH	8882.019499	42.81175777
Q367	NH	10013.27078	40.09078992
Q367	NH	12000	31.68143038
Q370	NH	500	28.96787343
Q370	NH	563.6820984	28.80641718
Q370	NH	635.4750161	28.73570207
Q370	NH	716.4117812	34.29330501
Q370	NH	807.6569923	35.10908002
Q370	NH	910.5235764	34.86947541
Q370	NH	1026.49168	33.4286772
Q370	NH	1157.229969	34.74891439
Q370	NH	1304.619634	35.29899533
Q370	NH	1470.781466	36.50370723
Q370	NH	1658.106366	34.8923537
Q370	NH	1869.289752	34.72396569
Q370	NH	2107.37034	37.23364245
Q370	NH	2375.773871	39.75617986
Q370	NH	2678.362402	39.828489
Q370	NH	3019.489878	40.81500941
Q370	NH	3404.064781	38.17067678
Q370	NH	3837.620758	37.63835258
Q370	NH	4326.396243	40.23560809
Q370	NH	4877.424226	39.24736849
Q370	NH	5498.633445	43.90006708
Q370	NH	6198.962477	43.02949875
Q370	NH	6988.488354	43.89235602
Q370	NH	7878.57156	42.26154467
Q370	NH	8882.019499	40.56842245
Q370	NH	10013.27078	41.53838755
Q370	NH	12000	30.58027759
Q358	HI	500	19.20941376
Q358	HI	563.6820984	NaN
Q358	HI	635.4750161	20.58741712
Q358	HI	716.4117812	22.80282156
Q358	HI	807.6569923	23.4589084
Q358	HI	910.5235764	25.3597477
Q358	HI	1026.49168	26.02734545
Q358	HI	1157.229969	26.13144517
Q358	HI	1304.619634	24.96712229
Q358	HI	1470.781466	25.44296236
Q358	HI	1658.106366	25.8979178
Q358	HI	1869.289752	29.96237135
Q358	HI	2107.37034	35.8297107
Q358	HI	2375.773871	36.87128765
Q358	HI	2678.362402	27.41132826
Q358	HI	3019.489878	30.12439015
Q358	HI	3404.064781	24.89717351
Q358	HI	3837.620758	16.51080833
Q358	HI	4326.396243	19.24713719
Q358	HI	4877.424226	21.59578575
Q358	HI	5498.633445	21.59507764
Q358	HI	6198.962477	24.14048395
Q358	HI	6988.488354	25.75007627
Q358	HI	7878.57156	23.78806975
Q358	HI	8882.019499	25.25182236
Q358	HI	10013.27078	23.7222723
Q358	HI	12000	24.70834273
Q360	HI	500	24.17953704
Q360	HI	563.6820984	22.16423583
Q360	HI	635.4750161	23.01304175
Q360	HI	716.4117812	15.6612643
Q360	HI	807.6569923	14.64343831
Q360	HI	910.5235764	21.47572199
Q360	HI	1026.49168	19.79516714
Q360	HI	1157.229969	16.04065405
Q360	HI	1304.619634	15.52829992
Q360	HI	1470.781466	13.85818814
Q360	HI	1658.106366	16.10015035
Q360	HI	1869.289752	19.44903172
Q360	HI	2107.37034	19.92274972
Q360	HI	2375.773871	23.49996413
Q360	HI	2678.362402	23.99888659
Q360	HI	3019.489878	23.67556296
Q360	HI	3404.064781	27.05439135
Q360	HI	3837.620758	28.22109095
Q360	HI	4326.396243	23.34787138
Q360	HI	4877.424226	27.3119305
Q360	HI	5498.633445	26.93914231
Q360	HI	6198.962477	27.33977191
Q360	HI	6988.488354	26.54404165
Q360	HI	7878.57156	26.76339213
Q360	HI	8882.019499	27.04174311
Q360	HI	10013.27078	28.69977156
Q360	HI	12000	10.77468085
Q361	HI	500	19.67531455
Q361	HI	563.6820984	NaN
Q361	HI	635.4750161	18.02551803
Q361	HI	716.4117812	18.92723462
Q361	HI	807.6569923	20.52853561
Q361	HI	910.5235764	21.13914673
Q361	HI	1026.49168	22.37148959
Q361	HI	1157.229969	21.17893696
Q361	HI	1304.619634	18.68048299
Q361	HI	1470.781466	17.7923425
Q361	HI	1658.106366	17.68257827
Q361	HI	1869.289752	20.35302458
Q361	HI	2107.37034	18.97529936
Q361	HI	2375.773871	17.81372903
Q361	HI	2678.362402	11.30543903
Q361	HI	3019.489878	3.894843218
Q361	HI	3404.064781	8.557829666
Q361	HI	3837.620758	12.58582114
Q361	HI	4326.396243	16.58441457
Q361	HI	4877.424226	19.47161691
Q361	HI	5498.633445	24.50305835
Q361	HI	6198.962477	22.23228922
Q361	HI	6988.488354	19.4259136
Q361	HI	7878.57156	13.55602733
Q361	HI	8882.019499	9.668399379
Q361	HI	10013.27078	11.50913228
Q361	HI	12000	0.4628268244
Q362	HI	500	NaN
Q362	HI	563.6820984	20.62051926
Q362	HI	635.4750161	24.2232643
Q362	HI	716.4117812	20.51162313
Q362	HI	807.6569923	20.59960078
Q362	HI	910.5235764	27.06691918
Q362	HI	1026.49168	27.52884627
Q362	HI	1157.229969	25.07307721
Q362	HI	1304.619634	24.1919974
Q362	HI	1470.781466	23.07745079
Q362	HI	1658.106366	23.33471355
Q362	HI	1869.289752	27.33448375
Q362	HI	2107.37034	27.36859632
Q362	HI	2375.773871	26.71898762
Q362	HI	2678.362402	21.49144767
Q362	HI	3019.489878	22.57324432
Q362	HI	3404.064781	27.4118737
Q362	HI	3837.620758	31.00329233
Q362	HI	4326.396243	39.71730356
Q362	HI	4877.424226	42.67312711
Q362	HI	5498.633445	43.97638621
Q362	HI	6198.962477	41.92122621
Q362	HI	6988.488354	36.80887336
Q362	HI	7878.57156	39.97825253
Q362	HI	8882.019499	39.66851019
Q362	HI	10013.27078	40.73337917
Q362	HI	12000	32.89752187
Q367	HI	500	19.26674771
Q367	HI	563.6820984	18.29024097
