chinID	hearing	freq_kHz	abr_thresh
Q373	NH	0.5	22.5421368063663
Q373	NH	1	16.3754154829649
Q373	NH	2	22.9632266958706
Q373	NH	4	15.9785708836674
Q373	NH	8	16.1722571610297
Q374	NH	0.5	19.905656728541
Q374	NH	1	23.9931647531277
Q374	NH	2	22.6217397016279
Q374	NH	4	18.1809726747816
Q374	NH	8	20.0904975149358
Q379	NH	0.5	18.5741011310592
Q379	NH	1	12.7043866610148
Q379	NH	2	14.1035448267175
Q379	NH	4	17.3763633788704
Q379	NH	8	20.2662368384449
Q358	NH	0.5	21.4385060089378
Q358	NH	1	13.6202389059927
Q358	NH	2	12.2878238109298
Q358	NH	4	14.8217780219041
Q358	NH	8	16.5296542505898
Q360	NH	0.5	23.875615186877
Q360	NH	1	17.2469062294356
Q360	NH	2	17.085735750036
Q360	NH	4	16.7123300942305
Q360	NH	8	21.3961958910897
Q361	NH	0.5	21.4434557022105
Q361	NH	1	11.7897241061265
Q361	NH	2	11.3183564907911
Q361	NH	4	14.411489801041
Q361	NH	8	21.4063121289849
Q362	NH	0.5	28.1742071590997
Q362	NH	1	18.687406169741
Q362	NH	2	21.0596511735424
Q362	NH	4	17.6676324000967
Q362	NH	8	21.1117311937811
Q367	NH	0.5	26.5514510695787
Q367	NH	1	17.0201626866564
Q367	NH	2	18.1402713839773
Q367	NH	4	20.2096966254906
Q367	NH	8	21.1041303391085
Q370	NH	0.5	22.3580770079615
Q370	NH	1	12.9564525927924
Q370	NH	2	15.6509537029352
Q370	NH	4	19.2140398705481
Q370	NH	8	19.6257725787902
Q358	HI	0.5	35.9502451214506
Q358	HI	1	34.6081775950333
Q358	HI	2	31.5823750530972
Q358	HI	4	30.6992642358402
Q358	HI	8	29.7018917542472
Q360	HI	0.5	29.6816049602347
Q360	HI	1	37.0791345960258
Q360	HI	2	47.000374630896
Q360	HI	4	34.2975796502639
Q360	HI	8	32.2350203564068
Q361	HI	0.5	49.2987227254815
Q361	HI	1	44.7659897212382
Q361	HI	2	48.6714822060624
Q361	HI	4	46.4592140168598
Q361	HI	8	51.1111996522174
Q362	HI	0.5	30.9106682578323
Q362	HI	1	36.2999065749253
Q362	HI	2	43.571144882139
Q362	HI	4	32.0148612556818
Q362	HI	8	35.865570834732
Q367	HI	0.5	41.8754001568378
Q367	HI	1	45.0715796556825
Q367	HI	2	44.582315380789
Q367	HI	4	36.761187880208
Q367	HI	8	31.0985635106528
Q370	HI	0.5	33.1454177679271
Q370	HI	1	29.2737208729738
Q370	HI	2	38.2995715624204
Q370	HI	4	40.0431093523603
Q370	HI	8	24.2834367333527
