UnitID	ChinID	CF_kHz	Threshold_dBSPL	Q10local	Q10global	TTR_dB	SpontRate	HearingStatus	StimSNR	RespCorr	RespCorrRaw	DR_SN	DR_N	DR_SNrelN
321_2_1	321	5.696465604	7.65283597007895	6.5017038851911	6.5017038851911	NaN	82	1	-10	0.00533147318258449	0.00533147318258449	110	104.8	5.20000000000002
321_2_1	321	5.696465604	7.65283597007895	6.5017038851911	6.5017038851911	NaN	82	1	-5	0.0150269601443928	0.0150269601443928	127	117	10
321_2_1	321	5.696465604	7.65283597007895	6.5017038851911	6.5017038851911	NaN	82	1	0	0.00129838193149455	0.00129838193149455	106	104.4	1.60000000000002
321_2_2	321	5.897453827	-2.09530431213422	11.7351632279033	11.7351632279033	54.2593763670105	72.2	1	-10	0.001	-0.00197448228678435	117.4	122	1
321_2_2	321	5.897453827	-2.09530431213422	11.7351632279033	11.7351632279033	54.2593763670105	72.2	1	-5	0.00469607443552592	0.00469607443552592	108.6	102.8	5.79999999999995
321_2_2	321	5.897453827	-2.09530431213422	11.7351632279033	11.7351632279033	54.2593763670105	72.2	1	0	0.00672652546782436	0.00672652546782436	105.4	97.2000000000001	8.20000000000003
321_2_3	321	4.342116617	0.17374898952317	10.7759225866545	10.7759225866545	54.5967222185192	19.2666666666667	1	-10	0.00147095053727878	0.00147095053727878	121.2	122	1
321_2_3	321	4.342116617	0.17374898952317	10.7759225866545	10.7759225866545	54.5967222185192	19.2666666666667	1	-5	0.0195939780142078	0.0195939780142078	134.6	122.2	12.4
321_2_3	321	4.342116617	0.17374898952317	10.7759225866545	10.7759225866545	54.5967222185192	19.2666666666667	1	0	0.0243875465328734	0.0243875465328734	137.8	121	16.8
321_2_4	321	4.96319161	15.1395764182253	3.98257515757728	3.98257515757728	40.8276150139466	92.4666666666667	1	-5	0.00299334057097853	0.00299334057097853	102	101	1
321_2_4	321	4.96319161	15.1395764182253	3.98257515757728	3.98257515757728	40.8276150139466	92.4666666666667	1	0	0.00477708761922813	0.00477708761922813	90	83.9338235294117	6.06617647058827
321_2_5	321	5.243788625	6.18148618529548	9.53549378806527	9.5354937880653	NaN	13.4666666666667	1	-10	0.001	-0.00355035573072832	108.6	105.6	3.00000000000001
321_2_5	321	5.243788625	6.18148618529548	9.53549378806527	9.5354937880653	NaN	13.4666666666667	1	-5	0.0128022598308622	0.0128022598308622	111	103.4	7.59999999999999
321_2_5	321	5.243788625	6.18148618529548	9.53549378806527	9.5354937880653	NaN	13.4666666666667	1	0	0.0399869575455903	0.0399869575455903	119.2	88.4000000000001	30.8
321_2_6	321	5.243788625	18.8481528519621	4.37743576993201	4.37743576993201	39.8070167536565	13.0333333333333	1	-10	0.00657894811097248	0.00657894811097248	117	109	8.00000000000003
321_2_6	321	5.243788625	18.8481528519621	4.37743576993201	4.37743576993201	39.8070167536565	13.0333333333333	1	-5	0.0175069530898415	0.0175069530898415	113.6	100	13.6
321_2_7	321	4.090239729	-9.69905068266025	8.34722384923796	8.34722384923797	60.0416363041503	85.3	1	0	0.001	0.000615660010375885	112.6	114.2	1
321_2_8	321	3.535490887	12.8991282056133	5.30739668997365	5.30739668997365	44.1128901643884	3.96666666666667	1	-10	0.001	-0.00102727300800735	67	72.8000000000001	1
321_2_8	321	3.535490887	12.8991282056133	5.30739668997365	5.30739668997365	44.1128901643884	3.96666666666667	1	-5	0.0107783103405214	0.0107783103405214	65.6000000000001	58	7.60000000000002
321_2_8	321	3.535490887	12.8991282056133	5.30739668997365	5.30739668997365	44.1128901643884	3.96666666666667	1	0	0.0183922263381439	0.0183922263381439	70.6000000000001	52.8	17.8
321_2_10	321	4.228609837	15.8659941850008	5.33036528456624	5.33036528456624	NaN	4.73333333333333	1	-10	0.00739028472291332	0.00739028472291332	103.8	95.4000000000001	8.40000000000002
321_2_12	321	4.144973038	-3.13040814966208	5.70011601470219	5.70011601470219	NaN	102.333333333333	1	-5	0.0033316327305582	0.0033316327305582	156	154.4	1.59999999999999
321_2_12	321	4.144973038	-3.13040814966208	5.70011601470219	5.70011601470219	NaN	102.333333333333	1	0	0.00358069514801473	0.00358069514801473	125	124	1
321_2_13	321	4.144973038	21.3140362947824	4.51840508214276	4.51840508214275	NaN	1.9	1	-10	0.001	-5.68501093624052e-05	71.6000000000001	72.4	1
321_2_13	321	4.144973038	21.3140362947824	4.51840508214276	4.51840508214275	NaN	1.9	1	-5	0.0114922364099974	0.0114922364099974	56.6	46.4	10.2
321_2_13	321	4.144973038	21.3140362947824	4.51840508214276	4.51840508214275	NaN	1.9	1	0	0.0220554728231186	0.0220554728231186	68.0000000000001	45.2	22.8
322_1_2	322	3.475609728	8.79882383137334	5.09470889983411	5.0947088998341	52.7839281308402	4.9	1	-5	0.00402307734205899	0.00402307734205899	40.8	34.5833333333333	6.21666666666667
322_1_3	322	3.326978166	8.11626859030612	6.69271588092881	6.69271588092881	NaN	6.7	1	-10	0.00372349133984515	0.00372349133984515	77.9	74.8	3.09999999999999
322_1_5	322	7.705316109	1.81580927888827	10.4914259351071	10.4914259351071	NaN	81.5666666666667	1	-10	0.001	-0.00583420748330249	135.2	142.4	1
322_1_5	322	7.705316109	1.81580927888827	10.4914259351071	10.4914259351071	NaN	81.5666666666667	1	-5	0.0215747345632753	0.0215747345632753	93.6000000000001	74.6000000000001	19
322_1_5	322	7.705316109	1.81580927888827	10.4914259351071	10.4914259351071	NaN	81.5666666666667	1	0	0.0143958671982032	0.0143958671982032	182.8	174.4	8.39999999999992
322_2_1	322	6.308662272	-0.903020397762388	10.1885538976649	10.1885538976649	NaN	44.1666666666667	1	-10	0.0074047642068973	0.0074047642068973	82.1000000000001	76.9918367346939	5.10816326530619
322_2_1	322	6.308662272	-0.903020397762388	10.1885538976649	10.1885538976649	NaN	44.1666666666667	1	-5	0.0243314744562217	0.0243314744562217	94.2416666666667	76	18.2416666666667
322_2_1	322	6.308662272	-0.903020397762388	10.1885538976649	10.1885538976649	NaN	44.1666666666667	1	0	0.0308455216855904	0.0308455216855904	100.2	78.8000000000001	21.4
322_3_1	322	4.257209676	4.87141617659716	7.1393524181797	7.1393524181797	NaN	7.6	1	-10	0.00704749335568827	0.00704749335568827	74.0000000000001	70.6000000000001	3.40000000000001
322_3_1	322	4.257209676	4.87141617659716	7.1393524181797	7.1393524181797	NaN	7.6	1	-5	0.0228946952547373	0.0228946952547373	60.6	42.1333333333334	18.4666666666667
322_3_1	322	4.257209676	4.87141617659716	7.1393524181797	7.1393524181797	NaN	7.6	1	0	0.0488265216699313	0.0488265216699313	83.2000000000001	47.2	36
322_3_2	322	5.149289271	8.86663608070904	4.51906141629419	4.51906141629419	NaN	10.3	1	-10	0.001	-0.00530663746904414	100.891666666667	104.4	1
322_3_2	322	5.149289271	8.86663608070904	4.51906141629419	4.51906141629419	NaN	10.3	1	-5	0.0145267589990373	0.0145267589990373	86.0000000000001	74.2	11.8
322_3_2	322	5.149289271	8.86663608070904	4.51906141629419	4.51906141629419	NaN	10.3	1	0	0.0330151565912551	0.0330151565912551	102.4	79.4	23
322_4_1	322	5.302743749	6.64002410617219	7.79021951121807	7.79021951121806	NaN	59.0333333333333	1	-10	0.00678944260343115	0.00678944260343115	90.6000000000001	84.6000000000001	6.00000000000001
322_4_1	322	5.302743749	6.64002410617219	7.79021951121807	7.79021951121806	NaN	59.0333333333333	1	-5	0.00144827907540268	0.00144827907540268	86.0000000000001	85.2000000000001	1
322_4_1	322	5.302743749	6.64002410617219	7.79021951121807	7.79021951121806	NaN	59.0333333333333	1	0	0.00989491346895188	0.00989491346895188	97.0000000000001	84.4	12.6
322_4_3	322	7.128534282	35.178286709762	4.76582324335677	4.76582324335677	NaN	0.633333333333333	1	-10	0.00237843044424984	0.00237843044424984	30.4	27.2	3.2
322_4_4	322	6.576733872	13.5265079037037	5.9736717572697	5.9736717572697	NaN	70.9666666666667	1	-5	0.00963978421580056	0.00963978421580056	100	91.3333333333334	8.66666666666664
322_4_7	322	7.023259975	20.8077251863848	4.51780646331421	4.51780646331421	NaN	8.33333333333333	1	-10	0.00433157017779795	0.00433157017779795	67.8	63.4	4.4
322_4_7	322	7.023259975	20.8077251863848	4.51780646331421	4.51780646331421	NaN	8.33333333333333	1	-5	0.0206497959233961	0.0206497959233961	79.2000000000001	62.6	16.6
322_4_7	322	7.023259975	20.8077251863848	4.51780646331421	4.51780646331421	NaN	8.33333333333333	1	0	0.0259418163190669	0.0259418163190669	86.6666666666667	72	14.6666666666667
325_1_15	325	4.657330784	17.4047128259065	4.39328732225328	4.39328732225328	NaN	21.1666666666667	1	-10	0.00826461200680592	0.00826461200680592	34	27.8	6.20000000000001
325_1_15	325	4.657330784	17.4047128259065	4.39328732225328	4.39328732225328	NaN	21.1666666666667	1	-5	0.01105060215184	0.01105060215184	32	21.3333333333333	10.6666666666667
325_1_16	325	4.657330784	4.73804615923981	7.71835707236069	7.71835707236068	NaN	17.1333333333333	1	-10	0.0018241635847505	0.0018241635847505	84.0000000000001	82	2.00000000000003
325_1_16	325	4.657330784	4.73804615923981	7.71835707236069	7.71835707236068	NaN	17.1333333333333	1	-5	0.00519700749967329	0.00519700749967329	75.8000000000001	71	4.80000000000001
325_1_16	325	4.657330784	4.73804615923981	7.71835707236069	7.71835707236068	NaN	17.1333333333333	1	0	0.0294450861221461	0.0294450861221461	85.3333333333334	65.9375	19.3958333333334
325_1_17	325	4.657330784	6.73804615923981	5.65079811026023	5.65079811026023	NaN	21.0666666666667	1	-10	0.00335757305235723	0.00335757305235723	90.8000000000001	88.2000000000001	2.59999999999999
325_1_18	325	3.977131455	7.57098434144718	5.61535221955042	5.61535221955042	NaN	17.1	1	-10	0.0132479646501496	0.0132479646501496	87.6000000000001	75.6000000000001	12
325_1_18	325	3.977131455	7.57098434144718	5.61535221955042	5.61535221955042	NaN	17.1	1	-5	0.025243136740014	0.025243136740014	94.2000000000001	77.8000000000001	16.4
325_1_18	325	3.977131455	7.57098434144718	5.61535221955042	5.61535221955042	NaN	17.1	1	0	0.0499339454149539	0.0499339454149539	111.6	77.6000000000001	34
325_1_19	325	3.816539839	8.69729724758476	4.52606094538542	4.52606094538542	NaN	25.0333333333333	1	-10	0.001	-0.00325172791030309	67	69.6000000000001	1
325_1_19	325	3.816539839	8.69729724758476	4.52606094538542	4.52606094538542	NaN	25.0333333333333	1	-5	0.00580920762073543	0.00580920762073543	92.0000000000001	89.0000000000001	3
338_1_1	338	6.15315009	-11.3638482987935	7.95352191335953	7.95352191335952	71.454737691076	1.86666666666667	1	-10	0.027620058115346	0.027620058115346	100	84.0000000000001	16
338_1_1	338	6.15315009	-11.3638482987935	7.95352191335953	7.95352191335952	71.454737691076	1.86666666666667	1	-5	0.0641714430592513	0.0641714430592513	161	125	36
338_1_1	338	6.15315009	-11.3638482987935	7.95352191335953	7.95352191335952	71.454737691076	1.86666666666667	1	0	0.0894071670342553	0.0894071670342553	167	117.8	49.2
338_1_3	338	7.705316109	34.6951181392394	3.52977976355708	3.52977976355708	25.8441387350248	43.2	1	-10	0.028405067610241	0.028405067610241	128	105.8	22.2
338_1_3	338	7.705316109	34.6951181392394	3.52977976355708	3.52977976355708	25.8441387350248	43.2	1	-5	0.0199689026319428	0.0199689026319428	105.8	84.8000000000001	21
338_1_3	338	7.705316109	34.6951181392394	3.52977976355708	3.52977976355708	25.8441387350248	43.2	1	0	0.030087894388178	0.030087894388178	134.4	111	23.4
338_1_4	338	6.685104632	38.5752837813678	2.4573858016856	2.4573858016856	NaN	23.7333333333333	1	-10	0.0148708319656712	0.0148708319656712	117	112	5
338_1_4	338	6.685104632	38.5752837813678	2.4573858016856	2.4573858016856	NaN	23.7333333333333	1	-5	0.0383028148898553	0.0383028148898553	162	140.2	21.8
338_1_4	338	6.685104632	38.5752837813678	2.4573858016856	2.4573858016856	NaN	23.7333333333333	1	0	0.0413168060179364	0.0413168060179364	137	111.8	25.2
